Number,Name,RA,Dec,Vmag,SpType,Vsini,Nspectra,Comments
142,HD 50658,06 56 32.06,46 16 26.39,5.841,B8IIIe,235,231,
143,V644 Mon,06 57 09.38,-10 49 28.07,6.89,Ape,,66,
144,QY Gem,06 57 42.90,17 54 07.24,7.15,B3ne,,926,
145,HD 51506,06 57 55.99,06 32 56.93,7.69,B2.5IVe,172,434,
146,LQ CMa,06 59 44.55,-28 23 58.99,7.206,B4Vne,420,121,
147,HD 53048,07 00 10.39,-56 54 25.22,7.92,B6Vne,,63,
148,FU CMa,07 00 19.36,-22 07 08.62,6.513,B3Vnne,190,86,
149,HD 52812,07 01 33.61,-27 13 22.60,6.935,B3Ve,,119,
150,GU CMa,07 01 49.51,-11 18 03.32,6.58,B1.5Ve,352,392,Herbig
151,19 Mon,07 02 54.78,-04 14 21.24,4.99,B1Ve,270,3017,
152,V749 Mon,07 03 37.18,-02 28 27.02,7.2,B4IVe,203,78,
153,HD 53416,07 05 34.68,14 28 23.20,7.05,B8e,,164,
154,HD 53667,07 05 35.22,-08 43 43.97,7.76,B0IIIe,110,121,
155,FV CMa,07 07 22.59,-23 50 26.59,5.71,B2Vnne,195,64,
156,HD 55014,07 10 46.12,-11 34 26.63,7.77,B7Vne,,32,
157,HD 55135,07 11 20.85,-10 25 43.78,7.32,B2.5Ve,244,94,
158,HD 55271,07 11 20.93,-21 48 11.84,6.92,B5Ve,,56,
159,HI CMa,07 12 45.48,-15 30 06.44,7.83,B2Vne,,33,
160,27 CMa,07 14 15.21,-26 21 09.03,4.65,B3IIIe,280,230,
161,ome CMa,07 14 48.65,-26 46 21.61,4.028,B2IVe,85,404,
162,NV Pup,07 18 18.39,-36 44 02.23,4.7,B2Ve,220,93,
163,NW Pup,07 18 38.19,-36 44 33.85,5.088,B2IVne,80,90,
164,HD 57386,07 20 42.98,-08 25 15.70,8,B1.5Vnnpe,,35,
165,HD 57682,07 22 02.05,-08 58 45.77,6.403,O9Ve,,1018,
166,NN CMa,07 22 43.32,-26 00 40.84,7.18,B1.5IInne,,79,
167,NO CMa,07 23 00.70,-31 55 25.61,5.43,B5IIIne,,1328,
168,HD 58127,07 23 37.74,-14 06 00.62,7.58,B6e,240,53,
169,OT Gem,07 24 27.65,15 31 01.91,6.448,B2Ve,130,2091,
170,FW CMa,07 24 40.19,-16 12 05.30,5.2,B2Vne,43,106,
171,FY CMa,07 26 59.48,-23 05 09.68,5.56,B1IIe,375,2939,
172,bet CMi,07 27 09.04,08 17 21.54,2.886,B8Ve,230,1128,
173,HD 59498,07 29 22.78,-21 52 09.18,7.79,B5IVe,,58,
174,V373 Pup,07 29 27.97,-21 51 31.03,7.73,B2Vne,,32,
175,z Pup,07 33 51.04,-36 20 18.21,5.41,B3Vne,273,34,
176,V763 Mon,07 35 57.80,-03 22 05.89,7.83,B5e,160,64,
177,V378 Pup,07 36 03.89,-14 29 33.98,5.656,B2.5Ve,240,426,
178,HD 61025,07 36 18.12,-24 36 35.31,7.89,B2Vne,,59,
179,BN Gem,07 37 05.73,16 54 15.30,6.921,O8Vpev,362,609,
180,HD 61224,07 37 38.80,-14 26 26.75,6.526,B8.5IVe,250,102,
181,V468 Pup,07 39 57.99,-37 34 45.92,6.004,B6IVe,,234,
182,HD 62367,07 43 32.13,-04 40 50.38,7.13,B9e,,116,
183,V387 Pup,07 43 47.91,-40 18 33.56,6.568,B2Vne,,90,
184,V392 Pup,07 46 10.54,-37 56 01.21,5.87,B7Ve,,236,
185,FF Cam,07 46 52.85,81 40 56.79,7.9,B9e,,3381,
186,HD 63423,07 47 35.40,-30 32 55.06,7.87,B1IIe,,60,
187,omi Pup,07 48 05.17,-25 56 13.81,4.5,B1IVnne,435,315,
188,HD 63988,07 49 52.22,-40 54 52.35,7.082,B8Ve,,91,
189,HD 64831,07 52 22.27,-59 29 35.20,7.83,B8Vne,,91,
190,HD 64109,07 52 22.63,03 50 35.33,7.99,B8e,260,163,
191,HD 65663,07 56 15.77,-61 05 57.95,6.741,B8Ve,,90,
192,BT CMi,07 57 03.99,02 57 03.04,7.77,B2Vne,,139,
193,V374 Car,07 58 50.55,-60 49 28.06,5.81,B2IVnpe,200,92,
194,HD 65930,07 59 00.73,-48 22 34.72,6.842,B2IIIe,,33,
195,V695 Mon,08 00 44.13,-02 52 54.91,6.51,B2.5Ve,140,174,
196,5 Cnc,08 01 30.29,16 27 19.12,5.983,B9.5Vne,,841,
197,V420 Pup,08 08 19.36,-23 37 04.04,6.53,B3IVe,90,162,
198,HD 68423,08 08 24.64,-63 48 02.96,6.313,B6Ve,,176,
199,PQ Pup,08 08 37.64,-37 40 52.40,6.351,B4Ve,,710,
200,V426 Pup,08 11 54.82,-30 12 42.83,7.76,B2IIIe,,62,
201,r Pup,08 13 29.52,-35 53 58.27,4.81,B1.5IIIe,145,232,
202,HD 69168,08 13 45.65,-46 34 43.27,6.478,B2Ve,,177,
203,HD 69404,08 14 51.24,-46 29 09.21,6.43,B2Vnne,,235,
204,HD 70340,08 21 20.28,-01 36 07.33,6.5,A2Vnnpe,33,171,
205,HD 71072,08 25 00.40,-12 45 53.23,6.89,B4IIIe,,241,
206,HD 71510,08 25 31.33,-51 43 38.70,5.159,B2Ve,158,207,
207,NR Vel,08 27 50.48,-50 06 00.07,7.67,B2Ve,,32,
208,HD 72014,08 28 52.06,-42 35 14.91,6.577,B1.5Vnne,,36,
209,HD 72067,08 29 07.57,-44 09 37.49,5.81,B2Vne,,237,
210,NS Vel,08 31 05.93,-39 03 39.47,7.3,B6IIIe,,62,
211,FY Vel,08 32 23.38,-49 36 04.77,6.9,B2IIpshe,,69,
212,HD 75081,08 46 23.76,-41 07 31.41,6.205,B9Ve,,234,
213,f Car,08 46 42.55,-56 46 11.19,4.51,B3Vne,268,183,
214,HD 76838,08 57 07.55,-43 15 22.27,7.31,B2IVe,,60,
215,IU Vel,09 00 22.26,-43 10 26.36,6.05,B2.5Vne,345,236,
216,E Car,09 05 38.38,-70 32 18.60,4.654,B2IVe,120,208,
217,HD 79206,09 10 42.02,-53 02 44.93,7.73,B3.5Vne,,62,
218,HD 79066,09 11 55.63,05 28 07.05,6.35,A9IVe,29,1536,
219,HD 79621,09 13 34.45,-47 20 18.26,5.905,B9Ve,,206,
220,HD 80459,09 16 55.61,-63 46 30.49,7.39,B6Vne,,60,
221,V480 Car,09 24 39.48,-58 41 20.51,7.88,B2.5Ve,,63,
222,HD 81753,09 26 44.90,-28 47 15.70,6.1,B6Ve,300,270,
223,HD 83032,09 33 30.65,-58 23 10.51,7.97,B7IIIe,,33,
224,V484 Car,09 34 29.79,-66 07 20.04,7.47,B4pshe,,60,
225,I Hya,09 41 17.01,-23 35 29.45,4.754,B5Ve,260,418,
226,V485 Car,09 41 37.30,-68 30 17.96,7.1,B3IIIpshe,,59,
227,HD 84523,09 44 07.16,-53 44 42.98,7.97,B4Ve,,59,
228,HD 84567,09 45 22.01,-30 12 09.89,6.438,B0.5IIIne,,146,
229,HD 85495,09 50 14.68,-58 02 45.11,7.94,B4IIIe,,61,
230,HD 85860,09 54 05.14,-27 59 56.45,7.17,B4Ve,,59,
231,OY Hya,09 59 06.30,-23 57 02.77,6.21,B5Ve,185,380,
232,HD 87543,10 03 34.12,-61 53 02.54,6.2,B7IVne,,153,
233,V337 Vel,10 09 18.14,-50 38 22.54,7.95,B2IIIe,,59,
234,17 Sex,10 10 07.54,-08 24 29.40,5.9,A1Ve,,726,
235,QY Car,10 11 46.46,-58 03 37.96,5.76,B2IVnpe,237,107,
236,HD 88825,10 13 01.15,-59 55 05.12,6.09,B4Ve,,149,
237,ome Car,10 13 44.22,-70 02 16.46,3.3,B8IIIe,240,151,
238,J Vel,10 20 54.90,-56 02 35.94,4.5,B3IIIe,70,126,
239,HD 89884,10 21 59.40,-18 02 04.13,7.131,B5IIIe,,203,
240,HR Car,10 22 53.84,-59 37 28.38,7.57,B2ev,10,92,
241,HD 90490,10 25 16.19,-58 52 20.85,6.995,B5Vne,,30,
242,V507 Car,10 28 18.26,-63 09 52.44,6.429,B2.5IIIne,,117,
243,HD 91273,10 30 06.83,-68 33 07.29,7.98,B8Ve,,59,
244,LX Vel,10 30 22.41,-57 04 38.61,6.615,B3IIIe,,59,
245,V510 Car,10 30 33.71,-61 20 11.35,7.56,B4Vne,,90,
246,HD 91120,10 30 59.84,-13 35 18.49,5.592,B8.5IVe,307,336,
247,p Car,10 32 01.46,-61 41 07.20,3.361,B4Vne,266,208,
248,DR Cha,10 41 51.52,-79 46 59.83,5.967,B4IVe,,117,
249,V518 Car,10 42 14.12,-64 27 59.13,4.82,B4Ve,,141,
250,HD 93563,10 46 57.47,-56 45 25.89,5.23,B8.5IIIe,280,121,
251,HD 93683,10 47 38.88,-60 37 04.25,7.97,B0.5Vne,,58,
252,HD 93843,10 48 37.78,-60 13 25.47,7.33,O6IIIe,,105,
253,AG Car,10 56 11.58,-60 27 12.81,7.09,B2pe,,74,
254,HD 94963,10 56 35.79,-61 42 32.27,7.26,O6.5IIIe,,31,
255,V353 Car,11 10 02.34,-60 05 42.49,7.72,B2Ve,,60,
256,HD 97253,11 10 42.04,-60 23 04.27,7.11,O5IIIe,,60,
257,HD 97535,11 12 05.50,-71 13 02.86,7.02,B7Vne,,29,
258,HD 97792,11 14 20.00,-56 02 51.23,7.97,B2.5Vnne,,60,
259,phi Leo,11 16 39.70,-03 39 05.78,4.467,A7IVne,250,1181,
260,HD 99467,11 26 01.38,-59 21 10.31,7.51,B9IIIe,,60,
261,A Cen,11 34 45.66,-54 15 50.73,4.614,B9Ve,160,152,
262,HD 101915,11 43 07.71,-72 26 43.94,7.12,B8Vne,,87,
263,j Cen,11 49 41.06,-63 47 18.52,4.313,B3Vne,210,264,
264,bet Hya,11 52 54.52,-33 54 29.27,4.276,B9IIIspe,,91,
265,PHECDA,11 53 49.85,53 41 41.14,2.44,A0Ve,167,1134,
266,HD 103574,11 55 21.66,-63 42 12.79,7.98,B2Ve,,59,
267,DG Cru,12 03 32.65,-61 05 53.87,7.57,B2Vne,,60,
268,V863 Cen,12 08 05.22,-50 39 40.57,4.448,B6IIIe,,175,
269,del Cen,12 08 21.50,-50 43 20.74,2.561,B2Vne,260,115,
270,V817 Cen,12 08 54.59,-41 13 53.77,5.506,B3IVe,120,149,
271,DK Cru,12 14 01.77,-59 23 48.83,7.86,B2IVne,250,63,
272,zet Crv,12 20 33.64,-22 12 57.24,5.22,B8Ve,250,548,
273,kap Dra,12 33 28.94,69 47 17.65,3.881,B6IIIpe,200,3924,
274,HD 109857,12 39 14.58,-75 22 14.14,6.49,B8Vne,,152,
275,39 Cru,12 41 56.57,-59 41 08.95,4.94,B6IVe,250,128,
276,BZ Cru,12 42 50.27,-63 03 31.05,5.316,B0.5IVpe,400,584,
277,HD 112028,12 49 13.59,83 24 46.42,5.35,A1IIIshe,275,347,
278,mu02 Cru,12 54 36.89,-57 10 07.21,5.113,B5Vne,210,120,
279,lam Cru,12 54 39.18,-59 08 48.12,4.602,B3Vne,302,177,
280,V946 Cen,13 01 34.90,-60 40 17.00,7.382,B6IIIne,,59,
281,LS Mus,13 03 05.34,-71 28 32.63,5.958,B2IVne,358,116,
282,V955 Cen,13 14 11.53,-63 22 25.45,7.97,B2IVne,,59,
283,V958 Cen,13 14 40.68,-38 39 05.66,7.12,B5Ve,,89,Herbig
284,V967 Cen,13 27 25.06,-62 38 56.44,7.45,B0IIe,,61,
285,HD 116875,13 28 01.50,-61 03 45.04,7.307,B8Ve,,59,
286,LV Mus,13 29 54.57,-65 30 07.19,7.68,B2Vne,,60,
287,HD 118094,13 36 20.98,-63 08 44.50,7.92,B8Vne,239,59,
288,CQ UMa,13 40 21.39,57 12 27.38,6.286,A2Vspe,33,350,
289,HD 119423,13 45 18.39,-66 45 16.82,7.595,B4Vne,180,87,
290,HD 119682,13 46 32.57,-62 55 24.13,7.908,B0Ve,200,369,
291,mu Cen,13 49 36.99,-42 28 25.43,3.456,B2Vnpe,124,120,
292,HD 120330,13 50 26.09,-59 44 52.85,7.9,B2.5Vnne,,61,
293,V774 Cen,13 53 28.23,-39 03 25.93,7.61,B3Vne,,91,
294,V767 Cen,13 53 57.24,-47 07 41.39,5.83,B2Ve,130,735,
295,HD 123131,14 07 56.66,-61 30 32.21,8,B6.5Ve,,29,
296,V716 Cen,14 13 39.82,-54 37 32.26,6.09,B5Ve,,120,
297,V795 Cen,14 14 57.14,-57 05 10.05,5.044,B4Vne,295,60,
298,HD 125015,14 18 50.98,-58 41 11.17,7.28,B7Vne,,59,
299,HD 124834,14 19 57.37,-73 58 06.39,6.62,B3IIIe,,87,
300,eps Aps,14 22 23.16,-80 06 32.21,5.051,B4Ve,,117,
301,HD 124639,14 24 22.07,-82 50 53.70,6.42,B9IVe,237,87,
302,HL Lib,14 30 40.46,-22 27 39.31,6.96,B9IVe,150,381,
303,V1008 Cen,14 33 36.77,-58 49 14.88,7.71,B2.5Vne,,60,
304,eta Cen,14 35 30.42,-42 09 28.17,2.322,B1.5Vne,310,140,
305,HD 127756,14 35 33.30,-61 00 29.80,7.59,B1.5Vne,,59,
306,CK Cir,14 39 31.66,-68 12 12.19,6.911,B2Vne,,116,
307,CO Cir,14 48 44.55,-66 35 36.82,5.88,B2.5Ve,,116,
308,CP Cir,14 50 34.16,-66 15 33.66,7.66,B5IVe,,87,
309,V1018 Cen,14 51 57.61,-40 48 21.02,7.93,B2pe,,91,
310,HD 131168,14 53 22.12,-45 51 20.71,7.05,B2Ve,185,90,
311,tet Cir,14 56 43.99,-62 46 51.66,5.11,B4Vnpe,185,118,
312,CV Cir,15 09 03.31,-61 53 15.31,6.96,B1.5IVne,,89,
313,kap Lup,15 11 56.07,-48 44 16.17,3.849,B9.5Vne,180,124,
314,HD 135160,15 16 36.69,-60 54 14.38,5.73,B0.5Ve,,65,
315,mu Lup,15 18 32.02,-47 52 31.00,4.274,B8Ve,278,91,
316,gam Cir,15 23 22.64,-59 19 14.81,4.51,B5IVe,,89,
317,HV Lup,15 28 17.42,-45 08 05.90,7.75,B1Vne,300,147,
318,kap01 Aps,15 31 30.82,-73 23 22.53,5.49,B2Vnpe,250,122,
319,53 Boo,15 31 46.98,40 53 57.61,4.997,A5Ve,,695,
320,tet CrB,15 32 55.78,31 21 32.88,4.153,B6Vnne,340,3859,
321,d Lup,15 35 53.25,-44 57 30.20,4.54,B3IVpe,,73,
322,HD 139431,15 39 45.65,-42 46 02.71,7.34,B2Vne,276,94,
323,HD 140926,15 48 47.86,-54 23 44.37,7.9,B2.5Vnne,,89,
324,V1040 Sco,15 53 55.86,-23 58 41.15,5.4,B2Ve,340,334,
325,4 Her,15 55 30.59,42 33 58.29,5.74,B9pe,300,2148,
326,48 Lib,15 58 11.37,-14 16 45.69,4.943,B8IIe,390,410,
327,del Sco,16 00 20.01,-22 37 18.14,2.291,B0.2IVe,175,6880,
328,MQ TrA,16 03 44.47,-60 29 54.47,7.3,Oe,,32,
329,HD 144965,16 10 10.56,-40 07 43.80,7.116,B3Vne,,89,
330,HD 146444,16 18 39.38,-49 24 49.96,7.6,B2Vne,275,59,
331,HD 146501,16 19 02.65,-49 24 22.88,7.29,B6Vne,,58,
